accuracy,loss,val_accuracy,val_loss,learning_rate,epoch
0.26378658413887024,1.7714767456054688,0.29617834091186523,1.7604185342788696,0.0010000000474974513,1
0.29464462399482727,1.7413347959518433,0.3136942684650421,1.7273452281951904,0.0010000000474974513,2
0.29982081055641174,1.711211085319519,0.3176751732826233,1.6496061086654663,0.0010000000474974513,3
0.3334660530090332,1.6406610012054443,0.3917197585105896,1.484338402748108,0.0010000000474974513,4
0.3858252167701721,1.4964606761932373,0.4554140269756317,1.2820110321044922,0.0010000000474974513,5
0.43858250975608826,1.365830898284912,0.4888535141944885,1.1661468744277954,0.0010000000474974513,6
0.48258012533187866,1.2262142896652222,0.5565286874771118,0.9993172287940979,0.0010000000474974513,7
0.5299621820449829,1.1016349792480469,0.5907643437385559,0.9119411110877991,0.0010000000474974513,8
0.5689826607704163,0.9992547035217285,0.6369426846504211,0.8155570030212402,0.0010000000474974513,9
0.5825204253196716,0.9458413124084473,0.6679936051368713,0.748516321182251,0.0010000000474974513,10
0.6155683994293213,0.8950949907302856,0.6743630766868591,0.698926568031311,0.0010000000474974513,11
0.6400557160377502,0.8360208868980408,0.6902866363525391,0.6778714656829834,0.0010000000474974513,12
0.6569778919219971,0.7876837253570557,0.7085987329483032,0.6307569742202759,0.0010000000474974513,13
0.6573760509490967,0.7702515721321106,0.7261146306991577,0.6060400605201721,0.0010000000474974513,14
0.6798725724220276,0.7379329204559326,0.7316879034042358,0.5871993899345398,0.0010000000474974513,15
0.6886323094367981,0.7167627811431885,0.756369411945343,0.5573340058326721,0.0010000000474974513,16
0.6896277070045471,0.701888918876648,0.7476114630699158,0.5464843511581421,0.0010000000474974513,17
0.7007764577865601,0.6883277297019958,0.762738823890686,0.5431867837905884,0.0010000000474974513,18
0.7123233079910278,0.6504594683647156,0.762738823890686,0.5178097486495972,0.0010000000474974513,19
0.7067489624023438,0.6552066802978516,0.7730891704559326,0.5127745270729065,0.0010000000474974513,20
0.7254628539085388,0.6130508184432983,0.7643312215805054,0.5002039670944214,0.0010000000474974513,21
0.7308381199836731,0.6046242713928223,0.7603503465652466,0.4910292327404022,0.0010000000474974513,22
0.7282500267028809,0.5945562720298767,0.7691082954406738,0.472284197807312,0.0010000000474974513,23
0.7354170680046082,0.5915833711624146,0.7659235596656799,0.4759746491909027,0.0010000000474974513,24
0.7429822683334351,0.5807430148124695,0.7770700454711914,0.4562700688838959,0.0010000000474974513,25
0.741986870765686,0.5581342577934265,0.7746815085411072,0.4486004710197449,0.0010000000474974513,26
0.7469639778137207,0.5561250448226929,0.772292971611023,0.4499792158603668,0.0010000000474974513,27
0.7503483891487122,0.5410610437393188,0.7730891704559326,0.44331562519073486,0.0010000000474974513,28
0.7519410848617554,0.5380147099494934,0.772292971611023,0.46257156133651733,0.0010000000474974513,29
0.755126416683197,0.5250776410102844,0.7834395170211792,0.45496243238449097,0.0010000000474974513,30
0.7601035237312317,0.5293709635734558,0.7929936051368713,0.4216099679470062,0.0010000000474974513,31
0.7577145099639893,0.5329599380493164,0.7866241931915283,0.4191712737083435,0.0010000000474974513,32
0.7670714855194092,0.5053380727767944,0.7929936051368713,0.4096841514110565,0.0010000000474974513,33
0.7638860940933228,0.506770670413971,0.7850318551063538,0.4249395728111267,0.0010000000474974513,34
0.7684650421142578,0.4789843261241913,0.7842356562614441,0.4151676893234253,0.0010000000474974513,35
0.7752339243888855,0.47768306732177734,0.7882165312767029,0.4209434390068054,0.0010000000474974513,36
0.7716504335403442,0.48307886719703674,0.7882165312767029,0.39963385462760925,0.0010000000474974513,37
0.77105313539505,0.47339513897895813,0.7778662443161011,0.4192928969860077,0.0010000000474974513,38
0.7774238586425781,0.4711284041404724,0.7754777073860168,0.4185806214809418,0.0010000000474974513,39
0.7818037271499634,0.4661140739917755,0.7826433181762695,0.3976004719734192,0.0010000000474974513,40
0.7792156338691711,0.46515482664108276,0.7914012670516968,0.41624364256858826,0.0010000000474974513,41
0.7835954427719116,0.44979092478752136,0.7993630766868591,0.3857303857803345,0.0010000000474974513,42
0.7798128724098206,0.46700164675712585,0.7906050682067871,0.4047066271305084,0.0010000000474974513,43
0.7853872179985046,0.4499971568584442,0.7898089289665222,0.3880493640899658,0.0010000000474974513,44
0.785984456539154,0.45420485734939575,0.8033439517021179,0.3882284164428711,0.0010000000474974513,45
0.7909615635871887,0.4491112232208252,0.7914012670516968,0.4020264744758606,0.0010000000474974513,46
0.7847899794578552,0.4346586763858795,0.7898089289665222,0.37837737798690796,0.0010000000474974513,47
0.7949432730674744,0.4473244845867157,0.7985668778419495,0.379180908203125,0.0010000000474974513,48
0.7955405116081238,0.4405285120010376,0.7898089289665222,0.3970199227333069,0.0010000000474974513,49
0.7949432730674744,0.42541947960853577,0.7977706789970398,0.3846762478351593,0.0010000000474974513,50
